ID,number,product_ID,parent_ID,quantity,price
1,ITEM-001,111,1,2,54.29
2,ITEM-002,444,1,1,129.99
3,ITEM-003,333,1,1,35.99
4,ITEM-004,444,2,1,129.99
5,ITEM-005,555,3,1,79.99
6,ITEM-006,999,3,2,24.99
7,ITEM-007,101,3,1,89.99
8,ITEM-008,111,4,3,54.29
9,ITEM-009,777,4,2,49.99
10,ITEM-010,666,5,1,199.99
11,ITEM-011,888,5,1,149.99
12,ITEM-012,111,6,1,54.29
13,ITEM-013,222,7,2,89.99
14,ITEM-014,888,7,1,149.99
15,ITEM-015,555,8,1,79.99
16,ITEM-016,444,8,1,129.99
17,ITEM-017,222,9,1,89.99
18,ITEM-018,666,9,1,199.99
19,ITEM-019,777,10,2,49.99
20,ITEM-020,999,10,1,24.99
