ID,name,description,barcode,category,brand,price,countInStock
111,dress,Cutie red dress for cutie girl,545850684,dresses,TVOE,54.29,45
222,jeans,Slim fit blue jeans with stretch,545850685,jeans,Levi's,89.99,30
333,t-shirt,White cotton t-shirt basic,545850686,t-shirts,Nike,29.99,100
444,sneakers,Air Max running shoes,545850687,sneakers,Nike,129.99,25
555,hoodie,Black oversized hoodie with print,545850688,hoodies,Adidas,79.99,40
666,jacket,Winter puffer jacket with hood,545850689,jackets,The North Face,199.99,15
777,shorts,Cotton summer shorts,545850690,shorts,Tommy Hilfiger,49.99,50
888,bag,Leather crossbody bag,545850691,bags,Michael Kors,149.99,20
999,hat,Wool beanie hat,545850692,hats,Carhartt,24.99,60
101,scarf,Silk scarf with floral pattern,545850693,scarves,Gucci,89.99,35
